img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.039410807,0.0074401684,0.0018911175,0.0,0.0,0.0,0.14951545,0.0055279606,0.00035760057
0.039412595,0.007441733,0.0018907767,0.0,0.0,0.0,0.1495285,0.0055302824,0.0003574717
0.03941179,0.007440202,0.0018907171,0.0,0.0,0.0,0.14952263,0.0055280104,0.00035744914
0.039411277,0.0074400827,0.0018909331,0.50312144,0.32678533,0.10001531,2.5725431,2.6889105,0.7643875
0.03941206,0.0074406452,0.001890677,0.5062668,0.3282176,0.10044647,2.5811205,2.696017,0.76977915
0.039413832,0.0074431896,0.0018911213,0.0,0.0,0.0,0.14953755,0.0055324445,0.000357602
0.03941127,0.0074412487,0.0018914584,0.0,0.0,0.0,0.14951882,0.005529564,0.0003577295
0.039413214,0.0074420087,0.001891261,0.0,0.0,0.0,0.14953303,0.0055306917,0.00035765482
0.03941205,0.0074405335,0.0018906379,0.0,0.0,0.0,0.14952455,0.005528502,0.00035741922
0.039413672,0.007441528,0.0018910998,0.0,0.0,0.0,0.14953637,0.005529979,0.0003575939
0.03941232,0.007440336,0.0018907087,0.50147575,0.32561687,0.09965883,2.5679898,2.6830518,0.7599417
0.03941129,0.007440742,0.0018909052,0.0,0.0,0.0,0.149519,0.005528812,0.00035752027
0.039411742,0.007440407,0.0018906984,0.0,0.0,0.0,0.14952227,0.005528315,0.0003574421
0.03941142,0.007440977,0.001890691,0.0,0.0,0.0,0.14951992,0.00552916,0.00035743928
0.039413627,0.007442657,0.0018911865,0.0,0.0,0.0,0.14953604,0.005531654,0.00035762665
0.039414335,0.0074431114,0.0018914277,0.0,0.0,0.0,0.14954121,0.005532329,0.00035771786
0.03941331,0.0074411333,0.0018908735,0.0,0.0,0.0,0.14953373,0.0055293925,0.0003575083
0.03941336,0.0074420087,0.0018904833,0.0,0.0,0.0,0.14953409,0.0055306917,0.0003573608
0.039413158,0.007441826,0.0018919073,0.0,0.0,0.0,0.14953262,0.0055304207,0.0003578993
0.039413955,0.0074432082,0.0018914388,0.4855044,0.31490517,0.09640377,2.5226235,2.6275823,0.7194708
0.039413232,0.007442035,0.0018916801,0.028807588,0.00483791,0.001557779,0.010075647,0.00067559956,1.1145674e-05
0.039412014,0.007439945,0.0018907441,0.35449925,0.028624441,0.007221663,2.0347788,0.04346498,0.0028359822
0.03941325,0.0074413083,0.0018912656,0.0,0.0,0.0,0.14953329,0.0055296523,0.00035765657
0.039412294,0.0074406043,0.0018907683,0.0,0.0,0.0,0.1495263,0.005528607,0.0003574685
0.039412417,0.0074402764,0.0018904414,0.51171607,0.3321675,0.101675265,2.5957878,2.7153914,0.7851626
0.039412167,0.0074409693,0.0018909816,0.0,0.0,0.0,0.14952539,0.005529149,0.00035754914
0.039413176,0.0074412227,0.0018909946,0.0,0.0,0.0,0.14953275,0.005529525,0.0003575541
0.039413884,0.007443141,0.0018915329,0.0,0.0,0.0,0.14953794,0.0055323727,0.00035775767
0.039412238,0.0074414425,0.0018904349,0.0,0.0,0.0,0.1495259,0.005529851,0.0003573425
0.03941116,0.007440772,0.001890989,0.0,0.0,0.0,0.14951803,0.005528856,0.00035755197
0.039413918,0.007442523,0.0018913392,0.0,0.0,0.0,0.14953817,0.005531455,0.0003576844
0.039413255,0.0074419454,0.0018905522,0.028876502,0.0051507293,0.0016595838,0.009943079,0.0005228942,5.332963e-06
0.039414197,0.0074416064,0.0018912693,0.0,0.0,0.0,0.1495402,0.005530095,0.000357658
0.039413907,0.0074419826,0.0018905401,0.0,0.0,0.0,0.14953808,0.0055306526,0.0003573823
0.039410416,0.007440962,0.0018908409,0.0,0.0,0.0,0.14951259,0.005529138,0.00035749597
0.039414056,0.007442221,0.0018904218,0.0,0.0,0.0,0.14953917,0.005531007,0.0003573376
0.039412044,0.0074406005,0.0018906388,0.0,0.0,0.0,0.1495245,0.005528602,0.00035741954
0.039412823,0.007441547,0.001891193,0.0,0.0,0.0,0.14953017,0.0055300063,0.00035762912
0.039412484,0.0074415356,0.0018908344,0.0,0.0,0.0,0.14952768,0.0055299895,0.00035749353
0.03941306,0.0074408054,0.0018910691,0.02893543,0.0047795307,0.0015085255,0.009830044,0.0007056041,1.4629739e-05
0.039412636,0.007440865,0.0018909723,0.0,0.0,0.0,0.1495288,0.0055289944,0.00035754562
0.039414044,0.007442303,0.00189103,0.55335593,0.36051193,0.110314794,2.6995635,2.8429887,0.89413804
0.039410986,0.0074400194,0.0018910393,0.0,0.0,0.0,0.14951675,0.0055277394,0.000357571
0.039412037,0.007440701,0.0018908856,0.0,0.0,0.0,0.14952442,0.005528751,0.00035751288
0.039412323,0.0074415356,0.001890758,0.34916145,0.028223751,0.0071347896,2.0094192,0.041858926,0.0027443976
0.03941243,0.007440977,0.0018912228,0.0,0.0,0.0,0.14952733,0.00552916,0.00035764038
0.03941329,0.0074417517,0.0018910188,0.0,0.0,0.0,0.14953355,0.00553031,0.00035756323
