img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.0391783,0.007009577,0.0016518338,0.077422164,0.113034934,0.0079788705,0.10915756,0.82640946,0.0039938786
0.039173655,0.0070064664,0.0016522808,0.21233153,0.12944214,0.03908232,1.1615396,1.0229238,0.1345205
0.03918655,0.0070177205,0.0016478756,0.76736766,0.5045744,0.15400304,3.0715423,3.2819476,1.4456238
0.039179698,0.007011704,0.0016499842,0.5728901,0.3729396,0.11377053,2.7479653,2.9052079,0.94302857
0.039184477,0.0070154443,0.0016493611,1.6997958,1.1361057,0.3471099,3.5999777,3.7865005,2.953431
0.039184738,0.0070129596,0.0016480181,0.48547187,0.03743457,0.009515872,2.5270483,0.08819169,0.0061710845
0.039174628,0.0070063174,0.0016519167,0.16983205,0.3196699,0.021299718,0.8159937,2.66522,0.03810183
0.03917357,0.007006526,0.0016527772,1.6365924,1.093484,0.3340949,3.583673,3.774128,2.8945274
0.03917715,0.0070099197,0.0016522473,0.55693346,0.36201063,0.110498115,2.712261,2.861352,0.9013267
0.03917886,0.007010471,0.0016513607,0.54407203,0.3532907,0.10782695,2.6820564,2.8244538,0.8674154
0.03917815,0.0070098974,0.001652563,0.33450875,0.21214582,0.06436127,1.9420893,1.9121262,0.3546055
0.03918531,0.007014733,0.0016488405,0.13053118,0.23164636,0.015654558,0.48509413,2.081676,0.019470274
0.039183974,0.0070134588,0.0016491413,0.77194935,0.5076373,0.15495025,3.077326,3.2883267,1.4569126
0.039173342,0.007006187,0.0016528945,0.6531194,0.42700177,0.13040282,2.90354,3.0897536,1.1543812
0.039178412,0.0070116334,0.0016510915,0.74991477,0.056250673,0.014025549,3.0491655,0.22039692,0.015219215
0.039178535,0.007010117,0.0016517332,0.3143828,0.02550578,0.006177814,1.835995,0.033328023,0.0020454063
0.039180584,0.007012479,0.0016499413,0.47169212,0.3045425,0.092811964,2.4860048,2.5833917,0.6794765
0.039182488,0.0070116483,0.0016498975,2.3957913,1.6069711,0.49107936,3.7215717,3.8713472,3.3883502
0.039179053,0.007008262,0.0016511157,0.39353827,0.25207654,0.07672936,2.2103164,2.242558,0.48862723
0.039189674,0.007016074,0.0016464554,0.029236764,0.0052629467,0.0014059113,0.008868003,0.00030619136,5.7847988e-06
0.03917424,0.0070048086,0.001652346,0.546197,0.35504472,0.108215466,2.6872146,2.8321695,0.8723253
0.03918434,0.0070136636,0.0016482845,0.59312457,0.38664722,0.11809143,2.7907197,2.9568126,0.9981306
0.03918104,0.007009644,0.0016502813,0.37592757,0.029966692,0.007454164,2.1364129,0.050960705,0.0033615394
0.039176356,0.0070099086,0.0016521178,0.0,0.0,0.0,0.14780739,0.0049078525,0.0002729307
