img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.039944228,0.0071671978,0.0024397485,0.029371554,0.0048652063,0.0014440948,0.009979443,0.00052800536,9.9095254e-05
0.039947283,0.0071678273,0.002439689,0.0,0.0,0.0,0.15345646,0.005131184,0.0005951196
0.03995202,0.0071698464,0.0024386877,0.39078343,0.24963327,0.07628883,2.182965,2.2195265,0.47221443
0.03994949,0.0071691945,0.0024402915,0.10450416,0.17583391,0.012163939,0.2738637,1.5483867,0.009404785
0.03994411,0.007168006,0.0024415338,0.0,0.0,0.0,0.15343301,0.0051314402,0.0005960199
0.03994105,0.0071677417,0.0024399357,0.12804222,0.22705784,0.015273171,0.4551159,2.038829,0.016341014
0.0399492,0.007168915,0.0024385368,0.07322626,0.10482671,0.0076135364,0.08387731,0.72603714,0.002671314
0.03994763,0.007168412,0.0024389243,0.33531657,0.21205197,0.064793475,1.9299029,1.9068103,0.3493327
0.03994957,0.0071685724,0.002439443,0.07425196,0.10875209,0.007954167,0.08873376,0.7724306,0.0030330273
0.039949503,0.007168997,0.0024397522,0.06948814,0.09764593,0.0072517246,0.067147985,0.64221925,0.0023100835
0.039950438,0.0071698874,0.0024389382,0.12991436,0.23144713,0.015583397,0.47018337,2.0755634,0.017138515
0.039950807,0.00716934,0.002439227,0.0740574,0.10666369,0.0077215633,0.087796725,0.747697,0.0027831243
0.039943583,0.0071689487,0.00244153,0.07580491,0.111927316,0.008171771,0.09633632,0.8101529,0.0032743453
0.039944902,0.0071674213,0.0024407078,0.05998794,0.07552562,0.0057967524,0.032146502,0.39906308,0.0011243962
0.039944492,0.007167276,0.0024404256,0.029454812,0.004899297,0.0014218844,0.009820844,0.00051250734,0.00010370394
0.039943945,0.0071684867,0.0024408465,0.11868974,0.20751071,0.014138882,0.3806298,1.8649476,0.013591002
0.039942898,0.0071685314,0.0024419045,0.0,0.0,0.0,0.15342407,0.0051321913,0.0005962009
0.03994329,0.0071688294,0.0024420433,0.0,0.0,0.0,0.15342695,0.0051326174,0.0005962686
0.03995331,0.007170379,0.0024387278,0.07381569,0.106014825,0.007662665,0.086632974,0.740016,0.0027220084
0.039944388,0.0071671307,0.0024394663,0.0697334,0.096767835,0.0070944447,0.06822208,0.63211775,0.0021619697
0.039942335,0.0071688294,0.0024423134,0.07262444,0.10295512,0.0073710885,0.08111592,0.70404685,0.0024234478
0.039943237,0.007168621,0.0024418747,0.08321285,0.12674947,0.008882263,0.13575111,0.9873005,0.0041346047
0.039950084,0.007168945,0.002438698,0.1323733,0.2384478,0.016052684,0.4902508,2.13261,0.018376973
0.039948147,0.0071696937,0.0024394747,0.10622224,0.17875494,0.012242035,0.28629994,1.5793107,0.009557517
0.039944876,0.0071690306,0.0024406565,0.14932923,0.27626902,0.018527867,0.6311896,2.4070642,0.025598463
0.03994489,0.0071691163,0.002440706,0.0,0.0,0.0,0.15343879,0.0051330277,0.0005956158
0.0399439,0.0071673878,0.0024411557,0.063139655,0.08224999,0.0061929105,0.04251102,0.46982744,0.0014049481
0.03994274,0.007167008,0.0024403334,0.08826184,0.13916858,0.009842209,0.16547723,1.1348802,0.00545819
0.03994222,0.0071679354,0.0024406184,0.0,0.0,0.0,0.15341906,0.0051313387,0.0005955731
0.03995132,0.0071702637,0.0024392335,0.08634371,0.13474272,0.009543587,0.15386863,1.0824692,0.0050291317
0.03994997,0.0071686693,0.0024388544,0.0,0.0,0.0,0.1534763,0.005132388,0.0005947126
0.039948326,0.0071684197,0.0024389606,0.10209711,0.17044787,0.011786504,0.2567411,1.4904872,0.008693674
0.039950464,0.0071689077,0.0024394682,0.07601406,0.11166492,0.008129208,0.097334854,0.80703026,0.0032282998
0.039945018,0.007167723,0.00244084,0.0,0.0,0.0,0.15343972,0.005131035,0.0005956813
0.039944123,0.0071674176,0.0024400996,0.029403184,0.004845311,0.001424992,0.009918658,0.0005372796,0.000103005885
0.03994251,0.007168781,0.0024422454,0.0,0.0,0.0,0.1534212,0.005132548,0.00059636735
0.03994763,0.0071678385,0.0024386188,0.0,0.0,0.0,0.15345901,0.0051312,0.0005945978
0.039943483,0.007167358,0.0024399487,0.0,0.0,0.0,0.15342838,0.0051305126,0.00059524644
0.03995064,0.0071698762,0.0024389345,0.42478633,0.2724486,0.08321572,2.314216,2.3817544,0.5513597
0.03994431,0.007168416,0.0024408866,0.07671542,0.11216518,0.007960175,0.100886196,0.81299543,0.0030380383
0.03994936,0.0071687885,0.0024394002,0.08915083,0.14043124,0.00982422,0.17087834,1.149707,0.0054331287
0.03994874,0.007169526,0.0024393676,0.0,0.0,0.0,0.15346722,0.005133614,0.0005949629
0.039945833,0.0071680136,0.0024403287,0.07243809,0.1038526,0.0076340786,0.080238946,0.71459585,0.0026906766
0.039945267,0.007167328,0.002440066,0.0,0.0,0.0,0.15344156,0.0051304703,0.00059530366
0.039944764,0.00716722,0.002439784,0.02930443,0.00479361,0.0014183131,0.010109662,0.00056139467,0.00010430144
0.03995014,0.0071685053,0.0024386244,0.10796533,0.18256669,0.012474052,0.29903957,1.6191974,0.010015299
0.039944015,0.007167604,0.0024408856,0.069487855,0.09629003,0.007067321,0.06717329,0.62660855,0.0021355636
0.03994526,0.007167332,0.002439077,0.0,0.0,0.0,0.1534415,0.005130476,0.00059482123
0.03994463,0.0071682893,0.0024407515,0.08950161,0.14251761,0.010059551,0.17308338,1.1742125,0.005782024
0.039944317,0.007167235,0.0024395017,0.126474,0.22410133,0.015157116,0.4424184,2.0135992,0.01604953
0.039942577,0.0071688704,0.0024412852,0.07759656,0.11427984,0.008124637,0.10538405,0.8381956,0.0032210595
0.039949235,0.0071679614,0.0024386477,0.39517772,0.2524868,0.07713489,2.2009203,2.2409606,0.48170033
0.039942984,0.007167332,0.0024400782,0.029155787,0.005021465,0.0015389732,0.0103954915,0.0004587705,8.1166894e-05
0.039946966,0.0071677007,0.0024396991,0.06340164,0.08348949,0.0063296524,0.043418437,0.48321617,0.0015102702
0.03994596,0.007167835,0.0024405783,0.10164615,0.17023504,0.011815807,0.25358996,1.4881909,0.008745057
0.039951313,0.0071702823,0.0024395846,0.08359999,0.12812686,0.009062119,0.1378963,1.0037159,0.004371339
0.03995323,0.007170353,0.002438751,0.07028337,0.098275766,0.0072094984,0.07055648,0.64948195,0.0022707186
0.039950572,0.007169381,0.0024389,0.06374016,0.08339331,0.00624555,0.044604897,0.48214898,0.0014463313
0.03995142,0.0071704388,0.0024394328,0.0,0.0,0.0,0.15348704,0.0051349187,0.00059499475
0.039944027,0.0071680173,0.0024401955,0.10608088,0.1796674,0.012372535,0.28531307,1.5889492,0.009811318
0.03994381,0.0071685836,0.0024419772,0.0,0.0,0.0,0.15343079,0.0051322654,0.0005962364
0.039942127,0.007167708,0.002440569,0.078157745,0.115629315,0.008234287,0.108285375,0.85432893,0.003347181
0.039949168,0.007169176,0.0024393154,0.07349038,0.10603506,0.0077656573,0.08511778,0.7402765,0.0028296248
0.039946,0.0071681403,0.0024400651,0.09707079,0.16021708,0.011165381,0.22208895,1.3775202,0.0075780456
0.039961457,0.0071759187,0.0024352055,0.029474502,0.004926072,0.0014139523,0.0098146275,0.0005043344,0.00010425719
0.039956186,0.0071729757,0.0024371715,0.0,0.0,0.0,0.15352224,0.005138549,0.00059389236
0.03996198,0.007175464,0.0024341727,0.0,0.0,0.0,0.15356505,0.00514211,0.00059243187
0.03995631,0.007172603,0.002436787,0.0,0.0,0.0,0.15352315,0.0051380154,0.0005937049
0.03995869,0.0071742088,0.0024349801,0.06537272,0.08812808,0.0066408073,0.050562814,0.53408253,0.0017652633
0.039953418,0.007171251,0.0024386095,0.09371293,0.15143855,0.010601297,0.19977543,1.2777156,0.006634742
0.03996179,0.007174682,0.0024344344,0.029185219,0.0048164623,0.0014415369,0.010373477,0.000554128,9.854752e-05
0.0399609,0.0071754754,0.0024347724,0.029125027,0.0046473783,0.001360118,0.010489934,0.0006369018,0.000115446644
0.039956283,0.007170938,0.0024364041,0.07143176,0.101204716,0.0074512926,0.07561588,0.6835291,0.0025087786
0.039953798,0.0071703754,0.0024375217,0.41857836,0.26846725,0.082045294,2.2913976,2.354832,0.5377814
0.03996174,0.007173784,0.0024338607,0.0,0.0,0.0,0.15356329,0.0051397053,0.0005922801
0.03995452,0.007170994,0.002437774,0.08966974,0.1425458,0.0100741675,0.17404906,1.1744808,0.005808717
0.039954152,0.007171117,0.0024372935,0.0,0.0,0.0,0.15350722,0.0051358887,0.0005939517
0.03995676,0.0071727373,0.0024366854,0.06931369,0.09573416,0.0070110313,0.06637111,0.62013453,0.0020878052
0.039961215,0.0071746893,0.0024346085,0.06839708,0.09504747,0.0070856134,0.06251062,0.6122276,0.0021582942
0.039958563,0.0071739554,0.0024351738,0.0,0.0,0.0,0.15353982,0.0051399507,0.00059291924
0.03995149,0.0071700513,0.002438249,0.08261825,0.12577423,0.0089083575,0.1323404,0.97561526,0.0041727996
0.039959252,0.007175386,0.0024358174,0.08268028,0.12650578,0.009024379,0.13263598,0.98424625,0.004326708
0.03996224,0.0071761385,0.0024345173,0.06325896,0.082889065,0.0062738424,0.042857867,0.47659445,0.0014712524
0.039963026,0.007176999,0.0024353256,0.06557845,0.08751639,0.0065090084,0.05132287,0.527248,0.0016561768
0.039958123,0.0071741194,0.0024362775,0.066856116,0.09084845,0.006778642,0.056293495,0.56453264,0.0018816186
0.039953895,0.0071716122,0.0024373308,0.39830986,0.2546672,0.07781896,2.2134042,2.2569754,0.489428
0.039953616,0.0071720257,0.0024385313,0.44164997,0.28381598,0.0866634,2.3734467,2.4554234,0.59190273
0.039957475,0.0071729757,0.002435943,0.07284167,0.10453682,0.0076691746,0.08204061,0.72255224,0.0027316976
0.039952625,0.0071704127,0.0024377648,0.073206834,0.10440137,0.007519369,0.08376792,0.72100455,0.0025758855
0.039951924,0.007170014,0.0024380507,0.07878461,0.11709353,0.008346231,0.11149892,0.8717799,0.0034805397
0.039963134,0.0071751475,0.0024339864,0.029175665,0.004669617,0.0013617589,0.0103947325,0.0006255742,0.00011492578
0.039960846,0.0071753897,0.0024352195,0.0,0.0,0.0,0.15355667,0.0051420033,0.0005929415
0.03995986,0.007173896,0.0024343822,0.40171933,0.25689077,0.07847674,2.2268105,2.2731593,0.4969162
0.039956465,0.0071729533,0.0024360027,0.029428657,0.004788759,0.0013608546,0.009892803,0.00056641217,0.0001155527
0.039958786,0.007173948,0.0024347417,0.07139451,0.100358225,0.0072628604,0.07543612,0.6736057,0.0023256054
0.039960142,0.0071734823,0.0024349391,0.14408548,0.26406148,0.017729886,0.5870679,2.324289,0.023158126
0.03995683,0.007172834,0.002436529,0.092148736,0.14734493,0.0102793155,0.18965405,1.2304025,0.0061261663
0.039952245,0.007169634,0.0024373839,0.05869507,0.072921574,0.0056758365,0.02825533,0.37258255,0.0010470345
0.039956752,0.0071731843,0.0024349028,0.08610508,0.13464388,0.009587784,0.1524142,1.0812322,0.005097949
0.039954327,0.0071708597,0.002437192,0.0720515,0.1030223,0.007576992,0.07842594,0.70479876,0.0026351477
0.03996107,0.007175807,0.0024348935,0.096856505,0.1573843,0.010819278,0.22051382,1.3454136,0.0069990517
