img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.03868203,0.006775867,0.0017737187,0.17495053,0.10386754,0.031673487,0.86732125,0.7217794,0.08696733
0.038670994,0.00677529,0.0017780196,0.0,0.0,0.0,0.14415517,0.0045851935,0.00031611038
0.038682126,0.0067769997,0.0017748838,0.0,0.0,0.0,0.14423518,0.004587505,0.00031499646
0.038669467,0.006773919,0.0017775679,0.0,0.0,0.0,0.1441442,0.00458334,0.00031594982
0.038674038,0.006775748,0.0017766804,0.34256998,0.2172639,0.06626124,1.9930778,1.9648925,0.37269434
0.038676016,0.006774593,0.0017755041,0.27001703,0.02209804,0.005864242,1.5823226,0.023001436,0.0016693422
0.038682636,0.0067767017,0.0017739655,3.3226678,2.2346117,0.683239,3.8045206,3.9205549,3.647727
0.03867168,0.0067744814,0.0017780904,0.33680728,0.026846282,0.0069936747,1.9644748,0.03918052,0.0027150095
0.03867688,0.006775882,0.0017751129,0.34925795,0.02772607,0.0071190014,2.025489,0.042622603,0.002850078
0.038675588,0.0067739934,0.0017751725,4.3567414,2.9344277,0.8971575,3.8524766,3.9449935,3.7812927
0.038683224,0.006776061,0.0017750608,0.0,0.0,0.0,0.14424308,0.0045862356,0.00031505927
0.03867156,0.0067743547,0.0017780298,0.7199257,0.4725808,0.14450146,3.0162792,3.2170591,1.3270843
0.03867334,0.0067748465,0.0017768331,0.0,0.0,0.0,0.14417206,0.0045845937,0.00031568867
0.038682,0.006776266,0.0017738575,0.02902485,0.005193345,0.0015806531,0.008367131,0.00024966965,3.7317432e-06
0.038680896,0.006775249,0.0017737774,0.0,0.0,0.0,0.14422636,0.0045851376,0.00031460388
0.038674895,0.006775979,0.001775723,0.08458885,0.1291259,0.009060673,0.15277697,1.0240928,0.005291516
0.038670473,0.0067733563,0.0017784489,2.1653876,1.4511938,0.44356602,3.6937878,3.8534994,3.2757077
0.03867495,0.0067741163,0.0017755339,0.0,0.0,0.0,0.1441836,0.004583607,0.00031522723
0.03867392,0.006774392,0.0017763432,0.0,0.0,0.0,0.1441762,0.0045839795,0.00031551463
0.038671564,0.00677263,0.0017767372,3.2655184,2.1959765,0.67142695,3.8010054,3.9186532,3.6368895
0.038674388,0.0067763105,0.0017766766,0.6566485,0.42966425,0.13109444,2.9181356,3.1036782,1.1602228
0.038669817,0.0067735426,0.001777526,0.11812986,0.20395441,0.013744532,0.39103734,1.8425311,0.014235181
0.03867552,0.006775368,0.001776061,0.0,0.0,0.0,0.1441877,0.0045852987,0.0003154144
0.038682062,0.0067760274,0.001773566,0.0,0.0,0.0,0.14423473,0.0045861905,0.0003145289
0.038669206,0.0067743585,0.0017776322,0.3761461,0.23999819,0.07321406,2.1481538,2.1563978,0.44741282
0.038674243,0.006774612,0.0017762743,0.612328,0.3999327,0.12239723,2.8380845,3.010032,1.050138
0.038674083,0.0067756623,0.001776373,0.11134918,0.1895763,0.013047549,0.33798906,1.7015574,0.012634532
0.038681373,0.006775722,0.0017736563,0.14357077,0.26051685,0.017531881,0.60106033,2.310894,0.024602922
