img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.039321315,0.006752547,0.0015484588,0.035752993,0.021535445,0.0019938583,0.0011160378,0.021424798,1.9831845e-05
0.0393289,0.0067567304,0.0015454087,0.31096542,0.19545564,0.05950607,1.8139799,1.760779,0.3073082
0.039330516,0.0067585073,0.0015453035,0.040104818,0.012509689,0.0036837321,5.1785217e-05,0.0032771914,0.0004569753
0.039334554,0.006760493,0.0015445286,0.0969478,0.15638655,0.010671106,0.2266773,1.3442799,0.008298485
0.03932069,0.0067542084,0.0015481655,0.028984174,0.004970441,0.001379055,0.009568316,0.0003170928,2.859223e-06
0.039318427,0.0067509077,0.001548525,0.4607999,0.29777098,0.09123437,2.449299,2.5522609,0.66190255
0.03933292,0.0067589283,0.0015446767,0.1987739,0.119278684,0.03633535,1.0516146,0.90618855,0.11684749
0.039324135,0.0067544207,0.001547032,0.05509258,0.022639528,0.006880148,0.020332934,0.02470014,0.0028391716
0.039324608,0.006755024,0.0015472407,0.46830982,0.30202755,0.09202844,2.4727287,2.576668,0.67165303
0.039322376,0.0067534707,0.0015477752,0.05103956,0.05465431,0.004072819,0.011401775,0.20968176,0.00063708145
0.039324,0.0067542642,0.0015474316,0.7245918,0.47567305,0.14505222,3.0122936,3.2248733,1.339609
0.03933195,0.0067578703,0.0015448313,0.07982,0.039179776,0.01166632,0.120986514,0.09985022,0.010199948
0.039318193,0.0067510456,0.0015487168,3.637158,2.4478972,0.74812865,3.819415,3.930026,3.703433
0.03931986,0.0067514516,0.0015484449,0.53052014,0.34463078,0.10525456,2.6461866,2.7934868,0.83684963
0.03933088,0.006758403,0.0015450409,0.11150607,0.19026388,0.013096937,0.3320548,1.7089674,0.013273489
0.03933469,0.00675983,0.0015439829,0.89117074,0.06643125,0.016510075,3.2042053,0.31401402,0.022217348
0.03933146,0.0067591406,0.0015449757,0.14996298,0.2750729,0.018352227,0.6455993,2.4112098,0.027971521
0.039327696,0.006754983,0.0015464937,1.1261861,0.74819696,0.2281778,3.3788388,3.6051087,2.2145069
0.039329816,0.006757319,0.001545825,0.637839,0.41720757,0.12742317,2.8739963,3.0666177,1.1191428
0.039334495,0.00675926,0.0015450139,0.029459821,0.0055740913,0.0015730751,0.008719283,0.00013993031,7.872404e-08
0.039322123,0.0067538284,0.0015478544,0.32213596,0.02626566,0.006469594,1.8747792,0.03706098,0.0024184657
0.039320096,0.0067516007,0.0015485669,0.5520491,0.3585934,0.10937165,2.6982722,2.8543882,0.8891078
0.039323617,0.006755311,0.0015472919,0.2968601,0.1860501,0.056511015,1.7337668,1.666191,0.27862188
0.039318632,0.006751355,0.001548483,0.6196575,0.4048031,0.12361012,2.8406417,3.0269825,1.0706283
0.039320163,0.006752085,0.001549582,0.0,0.0,0.0,0.14885405,0.004553875,0.000240106
0.039334524,0.0067592226,0.0015448071,0.34138775,0.21607025,0.06578164,1.9732126,1.9546973,0.37063614
0.03933188,0.006758243,0.001546015,0.15942948,0.2957849,0.019738907,0.7256518,2.5404065,0.03272745
0.039331343,0.0067592002,0.0015446097,0.468548,0.30200854,0.09210552,2.4733312,2.5764377,0.6726447
0.03932966,0.006758686,0.00154569,0.38748413,0.24779035,0.07530231,2.1823206,2.2175162,0.47401953
0.03933428,0.0067615993,0.0015445277,0.0,0.0,0.0,0.14895695,0.004566703,0.00023854239
0.039334625,0.0067590475,0.0015445426,0.12500364,0.22016361,0.014812734,0.43811378,1.9910185,0.017487517
0.03933347,0.0067596063,0.0015444662,0.16552219,0.30963984,0.020627879,0.77708447,2.6190093,0.035975516
0.03933401,0.0067596883,0.0015441114,0.101351835,0.16623847,0.011369719,0.25730386,1.4548308,0.009614173
0.039328765,0.0067572705,0.0015455298,0.09447377,0.15086061,0.010313801,0.2100731,1.2809799,0.007661319
0.039320737,0.0067538954,0.0015484523,0.4382613,0.28183597,0.085836634,2.3746765,2.455147,0.5965635
0.039319985,0.0067514963,0.0015483648,0.14752951,0.27029482,0.01820749,0.6252236,2.3795218,0.027484471
0.03933261,0.006759919,0.0015445659,0.5543856,0.3607831,0.10989819,2.703477,2.8633034,0.8958888
0.03932033,0.006753918,0.0015486386,3.198911,2.1512673,0.6574338,3.793608,3.916443,3.628282
0.03933314,0.0067594573,0.0015447643,0.02909512,0.005078588,0.0013916779,0.009383287,0.00028154574,2.343039e-06
0.039331462,0.0067592263,0.001544972,0.17168494,0.10124293,0.030690705,0.82895404,0.69116527,0.08279645
0.03933079,0.0067589767,0.0015449077,0.55120766,0.35806045,0.109174125,2.696104,2.8519366,0.8866694
0.039331485,0.0067589656,0.0015451638,0.20803478,0.4045135,0.026746271,1.1250434,3.0258176,0.062263686
0.03932857,0.006756436,0.0015457738,0.0,0.0,0.0,0.14891535,0.004559739,0.00023892742
0.039329056,0.0067563504,0.0015458418,0.0,0.0,0.0,0.14891887,0.0045596235,0.00023894843
0.039328977,0.006757796,0.0015459359,0.1386876,0.25139078,0.016923675,0.55082434,2.2447455,0.023447525
0.03932001,0.0067526214,0.0015484188,0.7890922,0.51994187,0.1584367,3.0961537,3.3189332,1.5009584
0.03933199,0.006758813,0.0015448034,0.6001419,0.39157447,0.119536206,2.8023078,2.9814978,1.0187937
0.039326124,0.006757021,0.0015462618,0.12893207,0.22773,0.015326609,0.4701584,2.056303,0.018855596
0.03932645,0.006755151,0.001546843,0.028928418,0.0049654315,0.0014323933,0.00968403,0.00031921326,1.3095816e-06
0.039325044,0.0067560337,0.0015468849,0.81535953,0.5373134,0.1638353,3.1264925,3.3509703,1.5641891
0.039322086,0.006753452,0.0015477091,0.18461005,0.35267353,0.023426576,0.9366443,2.829063,0.047133535
0.03933385,0.0067601874,0.0015444085,0.80945003,0.53320396,0.16258803,3.1196866,3.3434916,1.5497614
0.039330676,0.006758932,0.0015452728,0.1092058,0.18469939,0.012507516,0.31468195,1.6521963,0.01195804
0.039327994,0.0067567043,0.0015459415,0.49837923,0.32282504,0.09858742,2.5610387,2.6886404,0.752962
0.0393319,0.0067593865,0.0015446655,0.10371538,0.17376378,0.011907144,0.27423477,1.5369059,0.010689739
0.03932051,0.006752137,0.0015489012,0.06276152,0.08095521,0.0058011278,0.04359167,0.461799,0.0018057043
0.039320286,0.006752763,0.0015487978,0.6704121,0.050679903,0.012629296,2.9300141,0.1782596,0.012216351
0.039327063,0.0067570545,0.0015459955,0.43971682,0.2825171,0.08609552,2.3795483,2.4593756,0.5997036
0.039322384,0.0067530684,0.0015472984,0.4838911,0.31272498,0.09542567,2.519711,2.6359208,0.71356106
0.03931893,0.0067502223,0.00154889,0.4029335,0.2581412,0.07851258,2.2448685,2.2945948,0.51053053
0.039321896,0.0067546964,0.0015479345,0.029495815,0.0055314996,0.001567787,0.0086330585,0.00014905853,3.9402764e-08
0.039324164,0.0067559145,0.0015478218,0.029026525,0.0050654584,0.0013688018,0.009495148,0.00028476937,3.2041344e-06
0.03932777,0.006757058,0.0015461892,0.11490359,0.19643131,0.013294683,0.35817185,1.7703686,0.013727125
0.039327018,0.006755378,0.0015465124,0.09555893,0.15435931,0.010772944,0.21734308,1.3212614,0.008480528
0.03932441,0.00675378,0.0015471568,0.39959076,0.25574484,0.07782196,2.231572,2.2770767,0.5026276
0.03932187,0.006752353,0.0015480844,0.30369985,0.1911137,0.05799394,1.773284,1.7176845,0.2926734
0.03932526,0.006754786,0.001546937,0.08482778,0.12993713,0.009124513,0.14945538,1.0342659,0.005725665
