img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.039032873,0.00677792,0.001200622,0.0053535746,0.0032693394,0.0001325926,0.10810492,0.0012279148,0.0001140636
0.039046515,0.006783858,0.0011964533,0.0,0.0,0.0,0.14686516,0.0045967842,0.00014314495
0.03903623,0.00678017,0.0011993255,0.005584308,0.0034021994,0.0001775592,0.10659726,0.0011381186,0.0001043957
0.039045934,0.006783996,0.0011954661,0.1269627,0.27300805,0.017595781,0.45763698,2.3967907,0.02666167
0.039036855,0.006780181,0.0011991952,0.14667822,0.31721792,0.020378424,0.6221855,2.6589892,0.036361046
0.039043695,0.0067832805,0.0011974704,0.005381485,0.0032954272,0.0001151103,0.10798641,0.0012134307,0.00011714529
0.03903821,0.0067818128,0.0011995342,0.0053503835,0.0032411343,0.00012595563,0.108159184,0.0012504997,0.00011525201
0.039042614,0.0067821927,0.0011967532,0.093883656,0.024077902,0.001241381,0.20860562,0.029218502,1.9913458e-07
0.039045226,0.006784808,0.0011951979,0.0053074104,0.0030116478,0.000110986686,0.10848868,0.0014202661,0.00011754639
0.039031323,0.006777864,0.0012015328,0.092468955,0.19655359,0.012608114,0.19936918,1.7709956,0.012949271
0.03903567,0.0067796223,0.0011996366,0.0052904417,0.002930367,0.00011334394,0.10854243,0.0014781925,0.00011799809
0.039032917,0.006778363,0.00120176,0.100857094,0.21497244,0.013812207,0.256658,1.9442914,0.01581322
0.039035052,0.0067795366,0.0012001321,0.005376605,0.0030235334,0.000108814704,0.10796536,0.0014073747,0.00011909227
0.03903762,0.0067810826,0.0011989698,0.0,0.0,0.0,0.14680071,0.004593028,0.00014374769
0.039031923,0.0067777373,0.001200689,0.097526446,0.20801596,0.013324707,0.23336504,1.8805921,0.014622055
0.039045654,0.006784279,0.001195943,0.07338943,0.019183185,0.0009868937,0.08962449,0.015118425,4.3696414e-06
0.03904225,0.0067825653,0.0011975951,0.005517859,0.0033947008,0.00015892294,0.10707335,0.0011447982,0.00010787902
0.03904704,0.0067847855,0.0011960659,0.07133359,0.14930265,0.009580095,0.079903685,1.2622937,0.007008848
0.03903894,0.006781932,0.0011983048,0.005516595,0.0032433204,0.00017903384,0.10706133,0.001249039,0.00010388641
0.039031785,0.0067774877,0.0012005102,0.06375028,0.13265058,0.008475505,0.048334956,1.066217,0.005280196
0.039039623,0.006782066,0.0011987854,0.1251139,0.2690642,0.017287195,0.44266957,2.3702726,0.025664434
