img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.03979788,0.0073360503,0.0020423383,0.02699816,0.0045195767,0.0011324666,0.014739228,0.0007904747,8.2765786e-05
0.039797164,0.0073348954,0.0020427918,0.0,0.0,0.0,0.15234911,0.0053728423,0.0004172563
0.039797373,0.007337302,0.0020430395,0.027161464,0.0047814855,0.0010744107,0.014357345,0.00065083016,9.380138e-05
0.039797727,0.0073368214,0.0020419415,0.0,0.0,0.0,0.15235326,0.005375661,0.00041690908
0.03979723,0.0073346645,0.0020419136,0.0,0.0,0.0,0.15234962,0.0053725047,0.00041689764
0.039798886,0.0073357373,0.0020427732,0.0,0.0,0.0,0.1523618,0.0053740744,0.0004172487
0.039798476,0.007335093,0.0020422125,0.48653093,0.31492537,0.09645006,2.5180526,2.6308124,0.71732086
0.039799448,0.0073369145,0.0020423857,0.055194937,0.02283746,0.006538096,0.019339213,0.02349196,0.0020174277
0.0397989,0.007336121,0.0020429604,0.0,0.0,0.0,0.1523619,0.0053746356,0.00041732518
0.03979894,0.0073360987,0.0020429948,0.0,0.0,0.0,0.1523622,0.005374603,0.00041733927
0.03979907,0.0073353797,0.0020422954,0.0,0.0,0.0,0.15236315,0.005373551,0.00041705355
0.039798252,0.007337194,0.0020432156,0.0,0.0,0.0,0.15235713,0.005376206,0.0004174294
0.03979881,0.007337656,0.0020430544,0.124064304,0.06955318,0.020875812,0.42486486,0.33723253,0.035007566
0.039797477,0.007336065,0.0020424034,0.51861084,0.03995828,0.010078407,2.6065865,0.10078511,0.0064341044
0.039796893,0.007336803,0.002042831,0.19975992,0.017070929,0.004702844,1.0509841,0.009336271,0.000706763
0.03979744,0.0073348098,0.0020426875,0.0,0.0,0.0,0.15235116,0.005372717,0.00041721368
0.039798655,0.0073377006,0.0020429697,0.07827066,0.11782843,0.00847117,0.109757885,0.8772377,0.004120788
0.039797693,0.007334806,0.0020422367,0.02705016,0.004407711,0.0010797975,0.014617009,0.0008538452,9.2606366e-05
0.039799817,0.0073367283,0.0020427676,0.0,0.0,0.0,0.15236865,0.0053755245,0.00041724643
0.039798032,0.0073363967,0.0020424575,0.5572718,0.36297497,0.1111232,2.7014806,2.8561716,0.9012994
0.039798744,0.0073364973,0.002043617,0.0,0.0,0.0,0.15236074,0.0053751864,0.00041759343
0.03979786,0.0073379427,0.0020431941,0.0,0.0,0.0,0.15235426,0.005377302,0.00041742064
0.03979824,0.0073371604,0.0020430544,0.0,0.0,0.0,0.15235704,0.0053761564,0.0004173636
0.039798293,0.007337436,0.002042777,0.10960053,0.059762787,0.017879564,0.3127312,0.24703522,0.024833966
0.03979933,0.0073360987,0.0020427462,0.027091034,0.004770345,0.0011048781,0.0145253055,0.0006559058,8.793786e-05
0.03979979,0.0073374063,0.0020427508,0.6411988,0.048753493,0.012109622,2.8718548,0.15902142,0.010083699
0.0397986,0.007336054,0.0020423764,0.0,0.0,0.0,0.15235968,0.005374538,0.00041708665
0.039798696,0.007335108,0.0020423988,0.07841501,0.039230525,0.0123135885,0.110512935,0.09650057,0.010495656
0.039798863,0.007336214,0.0020430256,0.078273356,0.03848689,0.011321893,0.10977069,0.092196696,0.008571463
0.03979864,0.007337559,0.0020436272,0.0,0.0,0.0,0.15235999,0.00537674,0.0004175976
0.03979991,0.007336624,0.002043075,0.99117565,0.6560896,0.20055795,3.2826443,3.5063555,1.9449492
0.039799497,0.007337466,0.0020431755,0.0,0.0,0.0,0.1523663,0.005376604,0.00041741304
0.039799634,0.0073365755,0.0020428179,0.0,0.0,0.0,0.15236731,0.005375301,0.00041726697
0.039798956,0.007336188,0.0020424174,0.0,0.0,0.0,0.15236232,0.005374734,0.00041710338
0.03979823,0.007336911,0.0020421091,0.0,0.0,0.0,0.15235697,0.005375792,0.0004169775
0.039798524,0.007337611,0.0020429622,0.06429092,0.029232828,0.008612586,0.047202278,0.046389036,0.00430378
0.03979835,0.0073374994,0.0020430451,0.081663385,0.040913876,0.01211581,0.12804286,0.10653638,0.010095463
0.0397987,0.007336322,0.0020425664,0.06402014,0.028698074,0.008323355,0.046214834,0.044197705,0.0039342614
0.039799508,0.0073366873,0.002043508,0.0,0.0,0.0,0.15236637,0.0053754644,0.0004175489
0.039797932,0.0073379427,0.0020432174,0.11188353,0.19052915,0.013072365,0.32988787,1.6959411,0.012095122
0.039797995,0.0073373243,0.0020430759,0.0,0.0,0.0,0.15235522,0.0053763962,0.0004173724
0.03979765,0.0073366426,0.002042165,0.0,0.0,0.0,0.15235268,0.005375399,0.00041700032
0.03979882,0.007336069,0.00204226,0.0,0.0,0.0,0.1523613,0.005374559,0.0004170391
0.039798424,0.007337678,0.0020433106,0.14838819,0.08585885,0.02581637,0.6254386,0.5065626,0.055440072
0.03979713,0.0073373243,0.0020430367,0.0,0.0,0.0,0.15234888,0.0053763962,0.00041735638
0.039799344,0.007335592,0.0020425385,0.0,0.0,0.0,0.15236518,0.005373862,0.00041715286
0.039797228,0.0073346905,0.002042437,0.0,0.0,0.0,0.15234959,0.005372543,0.00041711138
0.0397977,0.0073369667,0.0020420132,0.0,0.0,0.0,0.15235306,0.0053758738,0.00041693836
0.03979833,0.007336274,0.002042098,0.07974737,0.03957489,0.011707875,0.117582716,0.09851301,0.0092987735
0.03979748,0.0073371083,0.002042979,0.15091246,0.087465964,0.026258847,0.6466672,0.52426577,0.057489607
0.039798506,0.0073370524,0.0020427778,0.0,0.0,0.0,0.152359,0.005375998,0.00041725062
0.039798625,0.0073377304,0.0020427518,0.0,0.0,0.0,0.15235989,0.005376991,0.00041723996
0.039797496,0.0073358864,0.00204279,0.0,0.0,0.0,0.15235156,0.0053742924,0.00041725556
0.03979932,0.0073378906,0.002043332,0.24116595,0.020145224,0.005346445,1.3636463,0.016098788,0.001089568
0.039797794,0.0073365383,0.0020424053,0.0,0.0,0.0,0.15235376,0.0053752465,0.00041709843
0.03979902,0.0073376857,0.0020435667,0.0,0.0,0.0,0.15236278,0.0053769257,0.00041757288
0.03979774,0.007336892,0.0020419555,0.09755541,0.15980594,0.011217172,0.22668126,1.3687329,0.008381623
0.039797667,0.007334739,0.0020424481,0.29032078,0.023712499,0.006167386,1.6851281,0.026191924,0.0016986491
0.039798472,0.0073376372,0.0020428635,0.23849553,0.019840758,0.0053176926,1.3446181,0.015349353,0.001071
