img_r,img_g,img_b,gt_r,gt_g,gt_b,rel_loss_r,rel_loss_g,rel_loss_b
0.03988757,0.0073194206,0.0020191204,0.5852755,0.38196322,0.11687158,2.761635,2.9311323,0.97468084
0.039886933,0.007319633,0.0020185262,0.028536651,0.004303383,0.0012280352,0.011533012,0.000906714,6.247115e-05
0.039888922,0.007321652,0.00201907,0.02853112,0.004542945,0.0013435503,0.011548428,0.00076941354,4.5619807e-05
0.039886773,0.0073191114,0.002019274,1.4466047,0.9643155,0.29475296,3.518502,3.722656,2.676364
0.03988944,0.0073216334,0.0020192247,0.13018951,0.23243305,0.015838316,0.47320327,2.079358,0.018945687
0.03988604,0.0073195696,0.0020186417,0.0,0.0,0.0,0.15300426,0.0053504435,0.0004074499
0.039887153,0.007321857,0.0020193197,0.0,0.0,0.0,0.15301248,0.0053537837,0.00040772365
0.039887343,0.007320497,0.0020197732,0.52985847,0.040783282,0.01025962,2.6337347,0.10585231,0.00676401
0.039888278,0.0073220134,0.00201872,0.08971733,0.045928296,0.014041506,0.1748619,0.13917819,0.014362127
0.039886262,0.0073194876,0.0020191148,0.027097428,0.004656091,0.0010609524,0.014705866,0.00070683396,9.178574e-05
0.03988729,0.007320065,0.002018189,0.082728446,0.12552525,0.008918267,0.1333971,0.96950436,0.004746913
0.039887197,0.007319726,0.0020190366,0.12537551,0.07045923,0.021081565,0.43429273,0.3462875,0.0358596
0.03988889,0.0073214322,0.002018731,0.35312134,0.028097292,0.00726056,2.0182264,0.041851096,0.0027417752
0.039888326,0.0073197037,0.0020207893,0.07887945,0.039777856,0.01241186,0.11239522,0.09981781,0.010741498
0.0398873,0.007319603,0.0020195516,0.0,0.0,0.0,0.15301359,0.005350493,0.00040781728
0.039887164,0.007321652,0.0020194314,0.0,0.0,0.0,0.15301257,0.0053534843,0.00040776876
0.039887607,0.0073191077,0.0020189015,0.0,0.0,0.0,0.15301584,0.0053497693,0.00040755482
0.039888922,0.007321473,0.0020186594,0.0,0.0,0.0,0.15302554,0.0053532235,0.00040745706
0.039888464,0.007320095,0.002019871,0.1375035,0.07872333,0.023580262,0.5333133,0.43021512,0.045735706
0.03988774,0.0073212385,0.0020192498,0.027750826,0.004169374,0.0010852262,0.013218602,0.0009901568,8.721901e-05
0.03988648,0.0073200203,0.0020187795,0.0,0.0,0.0,0.15300752,0.005351102,0.00040750558
0.039887182,0.0073202886,0.002018773,0.18612121,0.1116723,0.0337108,0.9391499,0.80424637,0.097332105
0.039887138,0.0073207617,0.002018963,0.49683228,0.03837821,0.009676314,2.5458016,0.0916704,0.005843521
0.039887704,0.0073196217,0.0020193243,0.02737216,0.003986528,0.00097307586,0.014072341,0.0011074124,0.00010943908
0.039887562,0.007319033,0.0020192936,0.12445461,0.22035493,0.0150251,0.42690715,1.9767661,0.016793136
0.039888848,0.0073216334,0.0020187506,0.0,0.0,0.0,0.15302499,0.0053534573,0.00040749394
0.039887354,0.007321678,0.0020192685,0.027049271,0.004298196,0.0010541737,0.014821445,0.000911069,9.3118804e-05
0.039888937,0.007320743,0.002019235,1.3681195,0.9113138,0.27853346,3.4891608,3.6982157,2.5763707
0.039889056,0.0073210523,0.0020202855,0.5421883,0.04170818,0.010479103,2.6641521,0.11154402,0.007127321
0.039889254,0.0073214136,0.0020189174,0.66442806,0.43551832,0.1331771,2.9104695,3.1062622,1.1807188
0.039887592,0.0073205866,0.0020192368,0.10950066,0.18624286,0.0128765525,0.3110542,1.6530012,0.011723101
0.039886467,0.0073205717,0.002019357,0.0,0.0,0.0,0.15300743,0.0053519066,0.00040773867
0.039888896,0.0073215067,0.002018569,0.054839052,0.023028187,0.0066974526,0.018255401,0.02411468,0.0021850453
0.039887138,0.0073211826,0.0020198543,0.3596143,0.028518584,0.0073438194,2.0485923,0.04353498,0.0028282611
0.03988887,0.0073217303,0.0020191614,0.72648144,0.4771957,0.14586854,3.0058458,3.2142062,1.3377975
0.03988742,0.007320497,0.0020188885,0.038438745,0.012170956,0.0035229407,0.00018195841,0.0023305593,0.00022604375
0.039887354,0.007320069,0.0020182375,0.0,0.0,0.0,0.15301396,0.0053511723,0.0004072868
0.039888147,0.007322248,0.002018692,0.061267916,0.02753715,0.008599515,0.036398273,0.0396594,0.0043185507
0.039889153,0.007321384,0.0020193309,1.096803,0.727432,0.22231731,3.3543818,3.577119,2.1491354
0.039888177,0.007319629,0.0020189509,0.7374751,0.48460028,0.14813711,3.021153,3.2313304,1.3654097
0.03988732,0.0073191635,0.0020192862,0.0,0.0,0.0,0.15301372,0.0053498507,0.00040771012
0.039887097,0.007320836,0.0020195693,1.4611843,0.9742391,0.29778108,3.5235872,3.7268293,2.694013
0.03988708,0.0073206797,0.00201903,0.7304707,0.47989956,0.14669643,3.0114765,3.2205343,1.3478944
0.039889712,0.007321622,0.0020187628,0.0,0.0,0.0,0.15303136,0.005353441,0.0004074988
0.03988738,0.0073190704,0.0020192442,0.22979647,0.019310713,0.0051720478,1.2797183,0.014129453,0.0009927335
0.039888315,0.007321313,0.0020185662,0.09499706,0.050054204,0.014868799,0.20874804,0.16872421,0.01639595
0.039888896,0.007321354,0.0020198673,0.08966479,0.047535315,0.014811487,0.17453034,0.15040138,0.016247485
0.039888665,0.0073214136,0.0020197658,0.5986728,0.39105368,0.11962418,2.789344,2.964236,1.0095981
0.039887898,0.0073190704,0.0020190384,0.0,0.0,0.0,0.15301798,0.005349715,0.0004076101
0.03988749,0.0073203556,0.0020190086,0.38694018,0.030478477,0.007790535,2.1684144,0.05178033,0.003323058
0.0398866,0.0073205344,0.0020191865,1.3447822,0.89538854,0.27370152,3.4797852,3.690162,2.544736
0.039887756,0.0073197633,0.0020195972,0.0,0.0,0.0,0.15301692,0.0053507267,0.00040783573
0.039887864,0.00732081,0.002019086,0.079660445,0.039775986,0.011756204,0.11654492,0.09979968,0.009436381
0.039886706,0.0073189847,0.0020187069,0.50391257,0.038932547,0.009804245,2.565489,0.09486817,0.006040353
